	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	KO	WT	metlin	ko15	ko16	ko18	ko19	ko21	ko22	wt15	wt16	wt18	wt19	wt21	wt22
1	M300T3390	5.69359438269773	14.4436804018638	5.02633559218424e-08	300.189811573728	300.170628950636	300.200012207031	3390.32361650253	3386.76499281833	3396.33492252498	12	6	6	http://metlin.scripps.edu/metabo_list.php?mass_min=299.04&mass_max=299.34	4534353.62273683	4980914.48421051	5290739.13866664	4564262.89684209	4733236.07999997	3931592.586	349660.88536842	491793.181333331	645526.704947367	634108.848947367	1438254.44559999	1364627.844
2	M301T3390	5.87658760296613	15.5756962933534	6.70571895788896e-08	301.187865077156	301.165859563299	301.194921180594	3389.62743572394	3386.76499281833	3392.1013011539	7	6	1	http://metlin.scripps.edu/metabo_list.php?mass_min=300.04&mass_max=300.34	962353.429578945	1047934.14136842	1109303.04472222	946943.392842103	984787.204999993	806171.472899999	86450.4116463556	120096.519533855	143007.948300124	137319.686021111	218483.14259183	291392.971409092
3	M298T3187	3.87091819584131	11.9389062588228	3.31002542264258e-07	298.150847871422	298.105429221837	298.159193882237	3186.80295507185	3184.123712007	3191.31222550396	4	4	0	http://metlin.scripps.edu/metabo_list.php?mass_min=297&mass_max=297.3	180780.817277777	203926.952354905	191015.910842105	190626.84952381	156869.080488805	220288.6218	16269.0960107969	43677.783977158	54739.1288875568	76318.0076842747	54726.1153827847	49679.9424723104
4	M491T3397	24.975702970846	16.8398648227759	4.46336118509194e-06	491.200012207031	491.187712694072	491.206349549118	3397.16033744993	3367.12281909606	3424.6810148771	6	6	0	http://metlin.scripps.edu/metabo_list.php?mass_min=490.05&mass_max=490.35	432037.001363632	332159.07255	386966.75145	334951.452952381	294816.23565	373577.607619048	7643.13806685429	10519.9421688158	26472.2930413739	33598.3227594968	8030.46734256427	0
5	M348T3288	9.00506717238889	17.2626531190102	5.03146203678639e-06	348.162042921863	348.123397924346	348.17414855957	3288.24803363674	3284.66356060166	3294.12789723042	6	6	0	http://metlin.scripps.edu/metabo_list.php?mass_min=347.01&mass_max=347.31	165830.902999999	183665.009888891	150844.995000002	134637.11694737	136452.455894736	167008.053263157	24302.8056741564	16631.3863078819	19213.6610736155	12822.539078464	12452.1285767195	18789.7540039558
6	M423T3257	6.24617282187597	10.8189245008713	4.71180768153445e-05	423.149886763171	423.106429261373	423.157354143773	3256.61094825289	3254.85455766597	3261.53254974337	6	6	0	http://metlin.scripps.edu/metabo_list.php?mass_min=422&mass_max=422.3	236249.54685	255168.615619048	212710.776210526	180690.966857143	191746.741263157	152861.1861	29530.1749173908	17037.2075367272	35133.1224849227	27706.2092422962	47228.7373877982	40193.5296262058
7	M327T3419	26.7484434572049	11.050605853016	9.44417020274368e-05	327.198887208875	327.168262014291	327.200012207031	3419.47080987066	3412.91699108963	3427.23009695823	6	6	0	http://metlin.scripps.edu/metabo_list.php?mass_min=326.05&mass_max=326.35	1108851.28263158	950126.528549999	674222.71365	677091.267	772290.305399999	1013977.91336843	58898.7043497997	21990.9799923989	27642.9740777723	31727.8260769813	45299.1680471677	8715.57767307175
8	M326T3417	15.5444373085938	10.4238641297464	0.000133442468437384	326.200012207031	326.170473605284	326.200012207031	3417.01426401808	3411.30667727919	3425.61712357087	12	6	6	http://metlin.scripps.edu/metabo_list.php?mass_min=325.05&mass_max=325.35	4809521.44842104	3931304.6352	2913711.5472	2819100.93	3284987.2808421	4346409.703579	259229.27265	314154.3228	161900.583619048	200939.740000001	247976.865157894	237853.6206
9	M410T3938	6.78734160641885	9.11467022822497	0.000165772212460835	410.265769844757	410.212496033003	410.298609827991	3937.7001711685	3932.86967098495	3946.13522834992	9	6	3	http://metlin.scripps.edu/metabo_list.php?mass_min=409.12&mass_max=409.42	980012.029555551	1319875.61499999	1375014.96194446	949318.774166662	899985.582105275	799401.791222231	137450.635499999	203674.389555555	223544.906842105	160796.140941175	95447.327294117	110763.406588236
10	M411T3936	4.63296841285786	8.744958200236	0.000210497574493207	411.233919541902	411.224298596572	411.286168276307	3936.49193533154	3932.86967098495	3945.26838966435	6	6	0	http://metlin.scripps.edu/metabo_list.php?mass_min=410.08&mass_max=410.38	304741.631666665	426745.765000001	437071.768944449	304811.058736841	285571.595789477	275335.275052631	57976.3757647055	92450.8100000002	86924.8391666663	79420.9305555552	56605.4872941173	65708.7501176477
11	M322T3390	7.11832905229526	8.34304435917037	0.000263982299325782	322.121163286913	322.100006103516	322.162267653525	3390.491635483	3389.62743572394	3392.1013011539	5	5	0	http://metlin.scripps.edu/metabo_list.php?mass_min=320.97&mass_max=321.27	238208.46368421	272654.010777781	378948.167333332	273593.9487	247266.869999998	179812.073611155	23463.0481588383	30685.2109261341	62726.3334565902	42656.2853807977	32328.453532866	31575.62391448
12	M449T3291	5.68627602526422	7.90709380168173	0.000320763628096188	449.132095540736	449.100006103516	449.16737587705	3291.36492589431	3289.63733661121	3295.49022524039	4	4	0	http://metlin.scripps.edu/metabo_list.php?mass_min=447.98&mass_max=448.28	144480.635894739	149070.729473264	95314.6844210524	136823.133777951	83447.3649999999	163903.722666667	15781.0387420961	14619.5488994125	19411.8176469693	23885.3028198992	33471.3335617174	28779.3835908395
